run_accession	fastq_md5
SRR12323696	3ff36e9dc681dd423ff5b46ec838d584;d24f6a33ce87b27667a3343d19c23e33
SRR12323697	60343efb715e6e5ee52b9348bf0b1bc2;7721b8c5c96f527e8f29f872d1816db9
SRR12323698	1dfb04d53ca6252fde354cf532ee1540;77c91a617ec4030161d4d195e0de2e7d
SRR12323699	ec762e2ce673ab1df8cb513b87ea337f;8e61c6c820a98f4a83e737b4a1572998
SRR12323700	6fe7f1728b2ab2ab438bf900c422cdda;624c79fbcf8afee9de3256c77a8f57eb
SRR12323701	115907d7621328acf27f8a6a0a54d6ff;2b0076555dd3034683d7050ea327d346
SRR12323702	8a216c4f0f2ebcba67dfbcf1c1ffed65;97dd1a31b97cb112337989ed89f06ca9
SRR12323703	675289f0f695ca5978445e8eb1389c7e;7c7abd496c5b666461fcc6e2d3fd6459
SRR12323704	f10c27436214e52c46ece57fdd08529b;425266d3df2ce8e66ce96624bf92ef01
SRR12323705	084f0b9c453924f2e2231da054a6f6ba;8dc84b78f84aac9d0ad684d79bef14c8
SRR12323706	c976438a25bb3146f919188736e7fb1e;3a76704fc47c375301ed8f6bc04385c1
