run_accession	fastq_ftp	fastq_aspera
SRR12323696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/096/SRR12323696/SRR12323696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/096/SRR12323696/SRR12323696_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/096/SRR12323696/SRR12323696_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/096/SRR12323696/SRR12323696_2.fastq.gz
SRR12323697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/097/SRR12323697/SRR12323697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/097/SRR12323697/SRR12323697_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/097/SRR12323697/SRR12323697_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/097/SRR12323697/SRR12323697_2.fastq.gz
SRR12323698	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/098/SRR12323698/SRR12323698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/098/SRR12323698/SRR12323698_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/098/SRR12323698/SRR12323698_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/098/SRR12323698/SRR12323698_2.fastq.gz
SRR12323699	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/099/SRR12323699/SRR12323699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/099/SRR12323699/SRR12323699_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/099/SRR12323699/SRR12323699_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/099/SRR12323699/SRR12323699_2.fastq.gz
SRR12323700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/000/SRR12323700/SRR12323700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/000/SRR12323700/SRR12323700_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/000/SRR12323700/SRR12323700_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/000/SRR12323700/SRR12323700_2.fastq.gz
SRR12323701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/001/SRR12323701/SRR12323701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/001/SRR12323701/SRR12323701_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/001/SRR12323701/SRR12323701_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/001/SRR12323701/SRR12323701_2.fastq.gz
SRR12323702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/002/SRR12323702/SRR12323702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/002/SRR12323702/SRR12323702_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/002/SRR12323702/SRR12323702_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/002/SRR12323702/SRR12323702_2.fastq.gz
SRR12323703	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/003/SRR12323703/SRR12323703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/003/SRR12323703/SRR12323703_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/003/SRR12323703/SRR12323703_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/003/SRR12323703/SRR12323703_2.fastq.gz
SRR12323704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/004/SRR12323704/SRR12323704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/004/SRR12323704/SRR12323704_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/004/SRR12323704/SRR12323704_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/004/SRR12323704/SRR12323704_2.fastq.gz
SRR12323705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/005/SRR12323705/SRR12323705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/005/SRR12323705/SRR12323705_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/005/SRR12323705/SRR12323705_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/005/SRR12323705/SRR12323705_2.fastq.gz
SRR12323706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/006/SRR12323706/SRR12323706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/006/SRR12323706/SRR12323706_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/006/SRR12323706/SRR12323706_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR123/006/SRR12323706/SRR12323706_2.fastq.gz
